policy_id,exposure_years,activity,region_risk,building_material,surface_m2,insured_capital_eur,building_age_years,previous_claims,fire_protection,fire_station_distance_km,claim_count,average_claim_cost_eur,total_claim_cost_eur
SYN-000001,0.864,mixed_farming,medium,mixed,1574.0,577286.0,19,0,1,5.3,0,0.0,0.0
SYN-000002,0.723,livestock,high,masonry,2259.0,1163421.0,30,0,1,17.9,0,0.0,0.0
SYN-000003,0.513,mixed_farming,low,masonry,480.0,299303.0,15,2,1,2.1,0,0.0,0.0
SYN-000004,0.505,mixed_farming,low,masonry,870.0,263278.0,47,0,1,3.5,0,0.0,0.0
SYN-000005,0.581,crop_farming,medium,masonry,1155.0,339392.0,72,0,0,1.9,0,0.0,0.0
SYN-000006,0.582,viticulture,medium,wood,1376.0,851558.0,54,0,1,11.5,0,0.0,0.0
SYN-000007,0.482,mixed_farming,medium,mixed,308.0,93075.0,27,0,0,18.8,0,0.0,0.0
SYN-000008,0.901,mixed_farming,high,masonry,535.0,212840.0,39,0,1,5.1,0,0.0,0.0
SYN-000009,0.57,crop_farming,high,masonry,1199.0,602808.0,76,0,0,10.6,1,9213.21,9213.21
SYN-000010,0.881,livestock,medium,mixed,2341.0,1003886.0,64,0,0,8.6,0,0.0,0.0
SYN-000011,0.984,livestock,high,masonry,923.0,570395.0,13,0,1,9.6,0,0.0,0.0
SYN-000012,0.599,viticulture,medium,masonry,786.0,262395.0,39,0,1,7.4,0,0.0,0.0
SYN-000013,0.982,mixed_farming,medium,mixed,1709.0,818953.0,7,0,1,5.0,0,0.0,0.0
SYN-000014,0.515,mixed_farming,medium,masonry,979.0,233388.0,67,0,1,18.3,0,0.0,0.0
SYN-000015,0.788,livestock,low,masonry,2149.0,706941.0,56,1,1,14.4,0,0.0,0.0
SYN-000016,0.995,crop_farming,low,masonry,1050.0,317942.0,20,0,1,5.1,0,0.0,0.0
SYN-000017,0.885,livestock,medium,masonry,587.0,314660.0,60,0,0,9.6,0,0.0,0.0
SYN-000018,0.538,crop_farming,medium,mixed,3051.0,829410.0,38,0,0,8.5,0,0.0,0.0
SYN-000019,0.554,mixed_farming,low,mixed,2709.0,1150072.0,64,0,1,6.3,0,0.0,0.0
SYN-000020,0.557,mixed_farming,medium,wood,651.0,206705.0,3,1,1,7.8,1,7950.16,7950.16
SYN-000021,0.966,mixed_farming,low,masonry,1567.0,586863.0,35,0,1,11.1,0,0.0,0.0
SYN-000022,0.547,livestock,low,mixed,980.0,296873.0,47,0,1,8.0,0,0.0,0.0
SYN-000023,0.706,viticulture,high,wood,1812.0,821293.0,9,0,0,2.7,0,0.0,0.0
SYN-000024,0.61,mixed_farming,medium,mixed,686.0,423151.0,33,0,1,3.4,0,0.0,0.0
SYN-000025,0.617,mixed_farming,low,wood,2136.0,727482.0,60,0,1,12.6,0,0.0,0.0
SYN-000026,0.645,crop_farming,medium,wood,2635.0,1224006.0,55,0,0,1.9,0,0.0,0.0
SYN-000027,0.607,livestock,medium,mixed,655.0,352113.0,9,0,1,8.3,0,0.0,0.0
SYN-000028,0.76,crop_farming,medium,wood,1266.0,435600.0,60,0,1,10.6,0,0.0,0.0
SYN-000029,0.655,crop_farming,high,mixed,2671.0,841405.0,59,0,0,8.6,0,0.0,0.0
SYN-000030,0.665,mixed_farming,medium,masonry,632.0,284955.0,35,0,1,2.7,0,0.0,0.0
SYN-000031,0.704,mixed_farming,medium,wood,785.0,404207.0,66,1,0,1.0,0,0.0,0.0
SYN-000032,0.614,viticulture,medium,mixed,1863.0,554042.0,49,0,1,2.0,1,33451.21,33451.21
SYN-000033,0.853,livestock,medium,masonry,1092.0,594871.0,80,0,1,8.9,0,0.0,0.0
SYN-000034,0.702,livestock,low,masonry,435.0,273875.0,59,0,0,1.1,0,0.0,0.0
SYN-000035,0.706,livestock,low,masonry,984.0,414690.0,80,0,1,6.3,0,0.0,0.0
SYN-000036,0.526,crop_farming,high,wood,3771.0,1989259.0,67,0,0,12.7,2,28277.05,56554.1
SYN-000037,0.419,crop_farming,medium,masonry,4633.0,1311006.0,27,0,0,13.4,0,0.0,0.0
SYN-000038,0.886,livestock,medium,masonry,801.0,582712.0,9,0,1,6.2,0,0.0,0.0
SYN-000039,0.913,crop_farming,low,masonry,669.0,306044.0,51,0,0,11.3,0,0.0,0.0
SYN-000040,0.545,mixed_farming,high,masonry,900.0,404276.0,44,0,1,3.8,0,0.0,0.0
SYN-000041,0.616,livestock,low,wood,3910.0,978590.0,79,0,1,12.3,0,0.0,0.0
SYN-000042,0.615,mixed_farming,medium,masonry,2095.0,1032839.0,74,0,1,11.5,0,0.0,0.0
SYN-000043,0.811,mixed_farming,high,masonry,3139.0,1068556.0,1,1,1,6.7,0,0.0,0.0
SYN-000044,0.512,livestock,medium,masonry,2320.0,968343.0,23,0,1,3.9,0,0.0,0.0
SYN-000045,0.987,mixed_farming,high,mixed,514.0,373290.0,42,0,0,6.2,0,0.0,0.0
SYN-000046,0.437,mixed_farming,low,mixed,654.0,165735.0,51,1,0,8.0,0,0.0,0.0
SYN-000047,0.984,livestock,medium,masonry,771.0,422590.0,32,0,1,14.6,0,0.0,0.0
SYN-000048,0.441,crop_farming,high,masonry,863.0,347136.0,23,0,1,5.3,0,0.0,0.0
SYN-000049,0.591,mixed_farming,medium,wood,780.0,461375.0,37,0,0,11.2,0,0.0,0.0
SYN-000050,0.55,crop_farming,medium,mixed,841.0,355728.0,65,0,1,5.4,0,0.0,0.0
SYN-000051,0.556,crop_farming,medium,mixed,1838.0,882393.0,76,0,0,11.0,0,0.0,0.0
SYN-000052,0.997,crop_farming,medium,masonry,1324.0,690730.0,60,0,1,4.6,0,0.0,0.0
SYN-000053,0.675,mixed_farming,high,wood,2678.0,917712.0,14,0,1,18.2,0,0.0,0.0
SYN-000054,0.472,mixed_farming,medium,mixed,1428.0,641710.0,76,0,1,15.2,0,0.0,0.0
SYN-000055,0.989,mixed_farming,high,masonry,781.0,550460.0,43,1,1,7.1,1,4795.73,4795.73
SYN-000056,0.546,mixed_farming,medium,wood,1370.0,663185.0,56,0,1,2.1,0,0.0,0.0
SYN-000057,0.444,livestock,medium,wood,454.0,377045.0,55,0,1,4.9,0,0.0,0.0
SYN-000058,0.415,livestock,low,mixed,270.0,140072.0,40,0,1,8.9,0,0.0,0.0
SYN-000059,0.678,crop_farming,medium,mixed,1841.0,660100.0,43,0,1,15.4,0,0.0,0.0
SYN-000060,0.951,crop_farming,high,masonry,2349.0,1117426.0,44,0,1,3.4,0,0.0,0.0
SYN-000061,0.41,mixed_farming,medium,masonry,1270.0,860666.0,11,0,1,11.6,0,0.0,0.0
SYN-000062,0.835,livestock,low,masonry,940.0,224879.0,63,0,1,8.7,0,0.0,0.0
SYN-000063,0.556,livestock,medium,mixed,507.0,344064.0,26,0,1,5.4,0,0.0,0.0
SYN-000064,0.531,mixed_farming,medium,masonry,2588.0,812143.0,60,1,1,7.3,0,0.0,0.0
SYN-000065,0.822,mixed_farming,high,masonry,1669.0,787887.0,3,0,1,3.8,0,0.0,0.0
SYN-000066,0.849,livestock,low,wood,1464.0,759659.0,10,1,0,10.5,0,0.0,0.0
SYN-000067,0.735,livestock,low,masonry,1208.0,594383.0,22,0,1,8.2,0,0.0,0.0
SYN-000068,0.521,livestock,medium,mixed,893.0,309870.0,24,0,1,4.9,0,0.0,0.0
SYN-000069,0.404,crop_farming,low,masonry,588.0,245822.0,9,0,1,20.8,0,0.0,0.0
SYN-000070,0.842,livestock,high,masonry,1428.0,492813.0,55,1,1,11.0,0,0.0,0.0
SYN-000071,0.76,crop_farming,medium,masonry,854.0,431020.0,6,0,1,10.5,0,0.0,0.0
SYN-000072,0.654,livestock,medium,masonry,920.0,664525.0,9,0,0,7.1,0,0.0,0.0
SYN-000073,0.528,mixed_farming,low,masonry,3702.0,1869583.0,50,0,1,8.2,0,0.0,0.0
SYN-000074,0.857,crop_farming,medium,masonry,1175.0,356967.0,53,0,1,3.1,0,0.0,0.0
SYN-000075,0.443,crop_farming,high,mixed,246.0,211436.0,53,1,0,5.2,0,0.0,0.0
SYN-000076,0.786,crop_farming,medium,masonry,856.0,390883.0,70,0,1,12.5,0,0.0,0.0
SYN-000077,0.813,crop_farming,low,masonry,632.0,350164.0,64,1,0,12.1,0,0.0,0.0
SYN-000078,0.534,mixed_farming,low,masonry,1107.0,583414.0,30,0,1,3.1,0,0.0,0.0
SYN-000079,0.69,livestock,high,masonry,480.0,208997.0,52,0,0,3.8,0,0.0,0.0
SYN-000080,0.712,mixed_farming,high,masonry,1607.0,789484.0,18,1,0,11.1,0,0.0,0.0
SYN-000081,0.755,mixed_farming,low,masonry,1000.0,401520.0,66,0,0,11.2,0,0.0,0.0
SYN-000082,0.941,livestock,medium,mixed,890.0,631728.0,69,0,1,4.0,0,0.0,0.0
SYN-000083,0.728,mixed_farming,low,mixed,1336.0,697693.0,45,0,1,12.6,0,0.0,0.0
SYN-000084,0.44,crop_farming,medium,wood,1153.0,569205.0,39,0,1,4.1,0,0.0,0.0
SYN-000085,0.607,crop_farming,low,mixed,1110.0,340378.0,50,1,1,6.5,0,0.0,0.0
SYN-000086,0.777,crop_farming,high,masonry,1048.0,696378.0,67,0,1,6.9,1,3815.74,3815.74
SYN-000087,0.6,mixed_farming,high,masonry,1196.0,352245.0,74,1,1,12.1,0,0.0,0.0
SYN-000088,0.861,livestock,low,masonry,1515.0,701385.0,7,1,1,14.2,0,0.0,0.0
SYN-000089,0.514,crop_farming,medium,mixed,1396.0,725225.0,49,0,1,5.5,0,0.0,0.0
SYN-000090,0.486,livestock,low,masonry,2521.0,661777.0,17,0,0,10.0,0,0.0,0.0
SYN-000091,0.539,crop_farming,low,masonry,850.0,408250.0,5,0,1,23.5,0,0.0,0.0
SYN-000092,0.926,mixed_farming,low,wood,1415.0,680676.0,1,0,0,16.0,0,0.0,0.0
SYN-000093,0.809,livestock,low,masonry,5943.0,2808299.0,8,0,1,3.3,0,0.0,0.0
SYN-000094,0.712,livestock,high,masonry,1180.0,313080.0,36,0,0,7.5,0,0.0,0.0
SYN-000095,0.58,livestock,low,wood,1210.0,612363.0,69,0,1,9.0,0,0.0,0.0
SYN-000096,0.951,mixed_farming,high,masonry,533.0,309516.0,71,0,1,7.0,0,0.0,0.0
SYN-000097,0.933,livestock,low,masonry,762.0,383986.0,63,0,0,7.9,0,0.0,0.0
SYN-000098,0.64,crop_farming,medium,masonry,1131.0,414396.0,52,0,1,11.5,0,0.0,0.0
SYN-000099,0.852,crop_farming,medium,masonry,1714.0,816486.0,49,0,1,14.0,0,0.0,0.0
SYN-000100,0.948,viticulture,high,wood,1848.0,449151.0,2,0,0,13.3,0,0.0,0.0
SYN-000101,0.588,viticulture,low,mixed,1498.0,683112.0,66,0,1,11.7,0,0.0,0.0
SYN-000102,0.597,mixed_farming,low,masonry,2044.0,533476.0,2,0,0,3.2,0,0.0,0.0
SYN-000103,0.727,crop_farming,medium,masonry,633.0,298209.0,64,0,1,11.3,0,0.0,0.0
SYN-000104,0.645,viticulture,medium,masonry,1665.0,591811.0,58,0,1,4.3,0,0.0,0.0
SYN-000105,0.857,mixed_farming,medium,mixed,1223.0,551469.0,22,1,1,3.2,0,0.0,0.0
SYN-000106,0.722,mixed_farming,low,masonry,1314.0,680274.0,8,0,1,5.4,0,0.0,0.0
SYN-000107,0.527,livestock,low,masonry,958.0,476998.0,71,0,0,2.5,0,0.0,0.0
SYN-000108,0.614,crop_farming,high,mixed,652.0,188736.0,18,1,0,4.6,0,0.0,0.0
SYN-000109,0.803,crop_farming,medium,wood,550.0,275084.0,43,1,1,8.5,0,0.0,0.0
SYN-000110,0.432,viticulture,medium,wood,1493.0,656144.0,56,2,1,14.1,0,0.0,0.0
SYN-000111,0.605,livestock,low,mixed,1675.0,683029.0,38,0,1,12.4,0,0.0,0.0
SYN-000112,0.41,crop_farming,low,masonry,1114.0,313562.0,20,0,0,6.6,0,0.0,0.0
SYN-000113,0.893,livestock,high,mixed,1200.0,533666.0,40,0,1,5.6,0,0.0,0.0
SYN-000114,0.47,livestock,medium,wood,759.0,345058.0,40,0,1,1.6,0,0.0,0.0
SYN-000115,0.446,crop_farming,low,masonry,1681.0,991472.0,36,0,1,18.8,0,0.0,0.0
SYN-000116,0.872,mixed_farming,high,masonry,1261.0,503676.0,32,1,1,16.0,0,0.0,0.0
SYN-000117,0.454,mixed_farming,medium,masonry,956.0,279809.0,5,1,1,8.9,0,0.0,0.0
SYN-000118,0.811,mixed_farming,low,wood,2128.0,596869.0,28,1,1,13.7,0,0.0,0.0
SYN-000119,0.628,livestock,medium,wood,1843.0,583128.0,30,0,1,8.0,0,0.0,0.0
SYN-000120,0.893,mixed_farming,medium,mixed,447.0,140213.0,21,1,1,3.1,0,0.0,0.0
SYN-000121,0.51,mixed_farming,medium,masonry,1251.0,657657.0,9,0,1,2.1,0,0.0,0.0
SYN-000122,0.451,mixed_farming,medium,wood,650.0,401430.0,33,0,1,8.7,0,0.0,0.0
SYN-000123,0.537,crop_farming,medium,masonry,1327.0,437166.0,74,0,1,22.5,0,0.0,0.0
SYN-000124,0.959,livestock,low,masonry,156.0,100592.0,15,0,1,0.5,0,0.0,0.0
SYN-000125,0.897,crop_farming,high,mixed,1378.0,422029.0,56,0,1,8.9,0,0.0,0.0
SYN-000126,0.571,livestock,medium,mixed,1925.0,1048143.0,77,1,0,7.5,0,0.0,0.0
SYN-000127,0.524,livestock,medium,wood,1128.0,627926.0,77,1,1,9.8,0,0.0,0.0
SYN-000128,0.494,crop_farming,medium,masonry,568.0,269271.0,26,0,1,7.3,0,0.0,0.0
SYN-000129,0.533,crop_farming,medium,masonry,4323.0,2033392.0,11,0,1,25.5,0,0.0,0.0
SYN-000130,0.523,mixed_farming,medium,masonry,2569.0,771369.0,59,0,0,1.8,0,0.0,0.0
SYN-000131,0.933,crop_farming,medium,masonry,858.0,237596.0,25,0,1,5.1,0,0.0,0.0
SYN-000132,0.412,viticulture,high,wood,1023.0,583980.0,24,0,0,6.5,0,0.0,0.0
SYN-000133,0.928,mixed_farming,high,masonry,334.0,156082.0,58,0,1,2.5,0,0.0,0.0
SYN-000134,0.425,livestock,high,masonry,1649.0,868650.0,21,0,1,12.3,0,0.0,0.0
SYN-000135,0.896,mixed_farming,low,masonry,498.0,366609.0,42,0,0,5.6,0,0.0,0.0
SYN-000136,0.655,crop_farming,medium,mixed,1869.0,533935.0,39,0,1,4.8,0,0.0,0.0
SYN-000137,0.446,viticulture,medium,wood,2361.0,1061383.0,68,0,0,12.8,0,0.0,0.0
